violation_id,car_plate,camera_id_start,camera_id_end,timestamp_start,timestamp_end,speed_reading
0ff38c74-7ee6-41cd-bc26-3a6060604a02,YE 6517,1,2,2018-11-14T08:30:11,2018-11-14T08:30:35.821118,145.0
2cf78fb9-bea2-4dd8-951a-0476057e9710,AN 73,2,3,2018-08-30T08:29:18.936540,2018-08-30T08:29:51.037375,112.1
36136182-2be9-44d7-bebc-0a9b4d56b846,HC 0,1,2,2018-10-27T08:34:34,2018-10-27T08:35:04.346445,118.6
d464e5b2-39cd-4135-bf9f-31fb08809fef,VWM 13,2,3,2020-07-16T08:46:58.922099,2020-07-16T08:47:36.101247,96.8
3a5a7ea7-d233-4d9a-8769-4e2adac45761,MJ 8247,1,2,2015-08-08T08:43:35,2015-08-08T08:44:00.902080,139.0
b47a13a5-fa7c-4f27-a661-76a5579c7f28,CV 321,1,2,2019-07-17T08:19:16,2019-07-17T08:19:43.058797,133.0
cc6ac776-4c26-4518-a3a7-304e54e4562c,OCI 605,1,2,2017-05-13T08:19:17,2017-05-13T08:19:43.083384,138.0
46f0c971-0f92-4170-9172-3113ab1d0ab7,WN 111,1,2,2019-03-21T08:37:14,2019-03-21T08:37:46.489120,110.8
0c201f72-90c5-4244-91a2-7389321a1d30,CQB 79,2,3,2020-03-04T08:38:27.723527,2020-03-04T08:39:07.698848,90.1
b2ace461-73d8-4718-ac65-887e28539bf3,DIG 136,1,2,2015-08-26T08:59:21,2015-08-26T08:59:50.178128,123.4
c8c4e9ef-3326-4f4e-949a-cca1e15abbb2,RYO 55,1,2,2019-09-02T08:53:22,2019-09-02T08:53:46.094682,149.4
bb75a8e5-5ae2-4b56-a2a2-8a326eac6d87,IO 1540,2,3,2015-07-25T08:01:26.352493,2015-07-25T08:02:00.153113,106.5
66632828-d8a9-402a-9c45-53835a584ac9,RMY 4153,1,2,2017-01-10T08:38:31,2017-01-10T08:39:03.632012,110.3
963042ee-8efb-4e23-a6bb-e4cf4065c492,PGU 22,2,3,2016-08-27T08:31:51.152698,2016-08-27T08:32:28.784683,95.7
